0x1fb3b6620: canAccessPathAt:methodName:error:
0x1fb34863f: requestWithInputs:inputIndices:outputs:outputIndices:weightsBuffer:perfStats:procedureIndex:
0x1f9fd2acc: attributesOfItemAtPath:error:
0x1fa325b4a: dictionaryGetInt64ForKey:key:
0x1fa2875b5: dictionaryGetNSStringForKey:key:
0x1fb3b6ecd: initInputsProcedureIndex:inputBufferInfoIndex:inputFreeValue:executionDelay:
0x1fb3b8039: programInferenceOtherErrorForMessage:model:methodName:
0x1fb3b8a9a: transactionHandle
0x1fb346af3: aneUtilityTaskQoS
0x1fb3b7aeb: modelPurgeInAllPartitionsEntitlement
0x1fb3b64eb: badArgumentForMethod:
0x1fb3b7fe5: programIOSurfacesMapErrorForMethod:code:
0x1fa9e0edb: updateError:error:
0x1fb3b655b: bufferWithIOSurfaceObject:symbolIndex:source:
0x1faa44f90: containsString:
0x1fb3b70fa: initWithInputs:inputIndices:outputs:outputIndices:weightsBuffer:perfStats:procedureIndex:sharedEvents:transactionHandle:
0x1fb3b7751: isMILModel
0x1fb3b81fa: purgeCompiledModelMatchingHash:withReply:
0x1fa9d5390: setInterruptionHandler:
0x1fb3b7c00: objectWithstatsSurRef:outputBuffer:
0x1fb3b858f: sharedPrivilegedConnection
0x1fb3b6b19: defaultWeightFileName
0x1faae1de5: fileExistsAtPath:
0x1fb3b7f77: processSessionHint:options:report:error:
0x1fb3b84fe: setPerfStats:
0x1fa0ebc9b: setRemoteObjectInterface:
0x1fb3b85fa: statType
0x1f9fa1d90: weights
0x1fa6381b3: precompiledModelChecksDisabled
0x1fb3b6486: allowRestrictedAccess
0x1fb3b679e: compiledModelExistsFor:withReply:
0x1fb3b76b2: invalidModelErrorForMethod:
0x1fb34851a: programHandle
0x1fb3b88ee: testing_modelDirectory
0x1fb3485f0: requestWithInputs:inputIndices:outputs:outputIndices:perfStats:procedureIndex:
0x1fb3b8827: testing_cloneDirectory:
0x1fb3b8988: testing_userCacheDirectoryWithSuffix:buildVersion:
0x1f9df2b10: copy
0x1fadec5a1: dictionaryWithObjects:forKeys:count:
0x1fb3b6e61: hexStringForDataArray:
0x1fb3b7392: initWithModelIdentifier:
0x1fa978110: ioSurface
0x1fb348369: perfStatsArray
0x1fb3b824d: realTimeProgramPriority
0x1fb3b8a08: timeoutErrorForMethod:
0x1fb3b6713: codeSigningIDFor:processIdentifier:
0x1fa6d0410: dictionaryGetUInt64ForKey:key:
0x1fb3b6f86: initWithAuditToken:modelIdentifier:processIdentifier:
0x1fb3480ab: modelAtURLWithSourceURL:sourceURL:key:cacheURLIdentifier:
0x1fb3b8102: programLoadNewInstanceErrorForMethod:
0x1fb3b68c0: consumeSandboxExtension:forPath:error:
0x1fb3b697e: coreAnalyticsANEUsageKeyGroup
0x1f9e43190: eventType
0x1fb3b7561: initWithWeightSymbolAndURL:weightURL:
0x1fa857510: isInternalBuild
0x1fb3480e5: modelWithCacheURLIdentifier:
0x1fabc20f4: shallowCopy
0x1fadf579b: fileSystemRepresentation
0x1fb3b71f6: initWithMachServiceName:restricted:
0x1fa762190: numANEs
0x1fb3b82f0: requestWithInputs:inputIndices:outputs:outputIndices:weightsBuffer:perfStats:procedureIndex:sharedEvents:transactionHandle:
0x1fb3b8d2c: waitEvent
0x1fb3b704b: initWithHardwareExecution:perfCounterData:ANEStatsRawData:
0x1fa031a90: nextObject
0x1fadeedf7: stringByReplacingOccurrencesOfString:withString:
0x1fb3b887a: testing_encryptedModelNames
0x1fadef11f: JSONObjectWithData:options:error:
0x1fb3b654e: binExtension
0x1fa5f60ca: doJsonParsingMatchWeightName:
0x1fad6fe24: dictionaryGetUInt32ForKey:key:
0x1fb3b6d1f: enqueueSetsWithModel:outputSet:options:qos:error:
0x1fb3b6953: coreAnalyticsANEUsageDefaultReportedClient
0x1fa8776a3: printDictionary:
0x1fb3b6a1a: csIdentity
0x1fb347e69: intermediateBufferHandle
0x1fb3b7cfa: perfStatsMask
0x1fb3b841b: saveModelFiles
0x1fb3b6835: compilerServiceAccessEntitlement
0x1faada210: setValue:
0x1fb3b7cbb: outputSets
0x1fb3b6642: chainingRequestWithInputs:outputSets:lbInputSymbolId:lbOutputSymbolId:procedureIndex:signalEvents:transactionHandle:fwEnqueueDelay:memoryPoolId:
0x1fb3b6a25: currentAsyncRequestsInFlight
0x1fb3b6ea5: identifierSource
0x1fb3b74a9: initWithRestrictedAccessAllowed:
0x1fb3b8bf3: userModelDataVaultDirectory
0x1fa9c90c4: weightsBuffer
0x1fb3b8541: setString_id:
0x1fb3b860f: statsWithHardwareExecutionNS:
0x1fa394d90: data
0x1fb3b7f2e: processRequest:model:qos:qIndex:modelStringID:options:returnValue:error:
0x1fa90a16e: sandboxExtension
0x1f9ff8710: validate
0x1f9e1604d: validateNetworkCreateMLIR:validation_params:
0x1fb3b89d7: testing_userTempDirectory:
0x1fb01faa0: evaluateWithQoS:options:request:error:
0x1fb347fab: loadRealTimeModel:options:qos:error:
0x1fadefdc4: URLByStandardizingPath
0x1fa303110: containsObject:
0x1fadec2ee: dataWithBytes:length:
0x1fb01fa8d: errorDomainGeneric
0x1f9e45ba7: getObjectFromIOSurface:classType:length:
0x1fb3b6307: networkTextHash
0x1f9e24b90: setObject:forKeyedSubscript:
0x1fb3b85dc: signalNotRequired
0x1fb3b70ce: initWithIOSurfaceObject:symbolIndex:source:
0x1fb3468ff: modelAtURL:key:
0x1fb3b7d41: pps_applicationDir
0x1f9ffb610: stop
0x1fb3b8bae: usecount
0x1fb3b7abe: modelNewInstanceCacheIdentifierNotNilMethod:
0x1fb3b678a: compiledModelExists
0x1fb3b77f0: llirBundleExtension
0x1fadeda6c: numberWithLongLong:
0x1f9f5e090: set
0x1fadfbdcb: setClasses:forSelector:argumentIndex:ofReply:
0x1fb348456: procedureDataWithSymbol:weightArray:
0x1fb34965b: unloadRealTimeModel:options:qos:error:
0x1fb3b64c3: ane_addWriteModeIfMissing:originalMode:
0x1fb3b7a84: modelDataVaultDirectory
0x1f9e28e90: setDescriptor:
0x1fb3b8750: systemModelsCacheDirectory
